model,depth_bin,depth_start,depth_end,layers_in_bin,mean_diff_all_heads,positive_fraction_all_heads,selected_heads,selected_density,mean_diff_selected_heads
gemma-3-12b-it-attn,0,0.0,0.1,5,0.026,0.625,0,0.0,
gemma-3-12b-it-attn,1,0.1,0.2,5,0.087,0.85,0,0.0,
gemma-3-12b-it-attn,2,0.2,0.3,5,0.162,0.938,4,0.05,0.527
gemma-3-12b-it-attn,3,0.3,0.4,4,0.188,1.0,6,0.094,0.477
gemma-3-12b-it-attn,4,0.4,0.5,5,0.193,0.975,7,0.087,0.414
gemma-3-12b-it-attn,5,0.5,0.6,5,0.223,0.988,5,0.062,0.487
gemma-3-12b-it-attn,6,0.6,0.7,4,0.187,0.953,1,0.016,0.52
gemma-3-12b-it-attn,7,0.7,0.8,5,0.16,0.95,1,0.013,0.743
gemma-3-12b-it-attn,8,0.8,0.9,5,0.16,0.787,4,0.05,0.756
gemma-3-12b-it-attn,9,0.9,1.0,5,0.165,0.838,3,0.037,0.577
gemma-3-27b-it-attn,0,0.0,0.1,7,0.021,0.464,2,0.009,0.078
gemma-3-27b-it-attn,1,0.1,0.2,6,0.055,0.656,3,0.016,0.387
gemma-3-27b-it-attn,2,0.2,0.3,6,0.128,0.844,7,0.036,0.6
gemma-3-27b-it-attn,3,0.3,0.4,6,0.191,0.948,16,0.083,0.489
gemma-3-27b-it-attn,4,0.4,0.5,6,0.25,0.984,20,0.104,0.468
gemma-3-27b-it-attn,5,0.5,0.6,6,0.183,0.984,1,0.005,0.427
gemma-3-27b-it-attn,6,0.6,0.7,6,0.205,0.927,0,0.0,
gemma-3-27b-it-attn,7,0.7,0.8,6,0.171,0.88,2,0.01,0.715
gemma-3-27b-it-attn,8,0.8,0.9,6,0.127,0.891,0,0.0,
gemma-3-27b-it-attn,9,0.9,1.0,7,0.137,0.853,0,0.0,
gemma-3-4b-it-attn,0,0.0,0.1,4,0.025,0.812,0,0.0,
gemma-3-4b-it-attn,1,0.1,0.2,3,0.112,0.875,2,0.083,0.32
gemma-3-4b-it-attn,2,0.2,0.3,3,0.27,1.0,6,0.25,0.536
gemma-3-4b-it-attn,3,0.3,0.4,4,0.236,1.0,6,0.188,0.465
gemma-3-4b-it-attn,4,0.4,0.5,3,0.27,1.0,7,0.292,0.387
gemma-3-4b-it-attn,5,0.5,0.6,3,0.312,1.0,1,0.042,0.701
gemma-3-4b-it-attn,6,0.6,0.7,4,0.275,0.938,1,0.031,0.631
gemma-3-4b-it-attn,7,0.7,0.8,3,0.226,0.917,0,0.0,
gemma-3-4b-it-attn,8,0.8,0.9,3,0.179,0.833,1,0.042,0.637
gemma-3-4b-it-attn,9,0.9,1.0,4,0.158,0.906,1,0.031,0.735
llama-3.1-8b-instruct-attn,0,0.0,0.1,4,0.048,0.805,1,0.008,0.063
llama-3.1-8b-instruct-attn,1,0.1,0.2,3,0.091,0.927,1,0.01,0.582
llama-3.1-8b-instruct-attn,2,0.2,0.3,3,0.158,0.938,1,0.01,0.471
llama-3.1-8b-instruct-attn,3,0.3,0.4,3,0.121,0.896,0,0.0,
llama-3.1-8b-instruct-attn,4,0.4,0.5,3,0.139,0.927,1,0.01,0.624
llama-3.1-8b-instruct-attn,5,0.5,0.6,3,0.11,0.948,1,0.01,0.551
llama-3.1-8b-instruct-attn,6,0.6,0.7,3,0.085,0.927,0,0.0,
llama-3.1-8b-instruct-attn,7,0.7,0.8,3,0.09,0.927,0,0.0,
llama-3.1-8b-instruct-attn,8,0.8,0.9,3,0.077,0.854,0,0.0,
llama-3.1-8b-instruct-attn,9,0.9,1.0,4,0.05,0.703,0,0.0,
mistral-nemo-instruct-2407-attn,0,0.0,0.1,4,0.07,0.867,1,0.008,0.363
mistral-nemo-instruct-2407-attn,1,0.1,0.2,4,0.186,0.93,8,0.062,0.576
mistral-nemo-instruct-2407-attn,2,0.2,0.3,4,0.278,0.961,31,0.242,0.546
mistral-nemo-instruct-2407-attn,3,0.3,0.4,4,0.28,0.984,26,0.203,0.557
mistral-nemo-instruct-2407-attn,4,0.4,0.5,4,0.321,0.992,31,0.242,0.53
mistral-nemo-instruct-2407-attn,5,0.5,0.6,4,0.217,0.977,0,0.0,
mistral-nemo-instruct-2407-attn,6,0.6,0.7,4,0.166,0.938,2,0.016,0.579
mistral-nemo-instruct-2407-attn,7,0.7,0.8,4,0.143,0.945,0,0.0,
mistral-nemo-instruct-2407-attn,8,0.8,0.9,4,0.12,0.953,0,0.0,
mistral-nemo-instruct-2407-attn,9,0.9,1.0,4,0.1,0.891,0,0.0,
qwen2.5-7b-instruct-attn,0,0.0,0.1,3,0.006,0.512,0,0.0,
qwen2.5-7b-instruct-attn,1,0.1,0.2,3,0.067,0.655,1,0.012,0.517
qwen2.5-7b-instruct-attn,2,0.2,0.3,3,0.13,0.857,4,0.048,0.437
qwen2.5-7b-instruct-attn,3,0.3,0.4,2,0.243,0.857,7,0.125,0.641
qwen2.5-7b-instruct-attn,4,0.4,0.5,3,0.251,0.929,12,0.143,0.622
qwen2.5-7b-instruct-attn,5,0.5,0.6,3,0.199,0.929,4,0.048,0.697
qwen2.5-7b-instruct-attn,6,0.6,0.7,2,0.213,0.982,3,0.054,0.579
qwen2.5-7b-instruct-attn,7,0.7,0.8,3,0.218,0.976,3,0.036,0.794
qwen2.5-7b-instruct-attn,8,0.8,0.9,3,0.17,0.833,1,0.012,0.608
qwen2.5-7b-instruct-attn,9,0.9,1.0,3,0.085,0.821,0,0.0,
