model,model_group,params_b,label,count,focus_mean,focus_std,focus_median,focus_min,focus_p25,focus_p75,focus_max
gemma-2-9b-it-attn,Gemma 2,9.0,0,56,0.5299146573025999,0.18321933215866648,0.48197691584937274,0.24463287896166244,0.4057138337132831,0.627486665500328,0.8624850238362948
gemma-2-9b-it-attn,Gemma 2,9.0,1,60,0.15650119680231,0.08253770960435189,0.1453039685729891,0.019661392344763346,0.10251092934049666,0.20162927825003862,0.3635938595980406
gemma-2-27b-it-attn,Gemma 2,27.0,0,56,0.6241190356301738,0.18414242493231667,0.560815913778431,0.23540771300992314,0.5169712691721594,0.7569545117154155,0.940727173157458
gemma-2-27b-it-attn,Gemma 2,27.0,1,60,0.16725852194895233,0.10344999503820587,0.15466277439911622,0.011840896766066094,0.09478669057984315,0.21097798756640054,0.45238235031302915
gemma-3-4b-it-attn,Gemma 3,4.0,0,56,0.4392133240261264,0.19007092301221254,0.355932674206355,0.15869924656170256,0.315747077768559,0.5555360375300926,0.829082727432251
gemma-3-4b-it-attn,Gemma 3,4.0,1,60,0.12012701484602396,0.06657974382756408,0.10688174908350714,0.012261614436283708,0.08001508903415765,0.1506160748711623,0.324121380553526
gemma-3-12b-it-attn,Gemma 3,12.0,0,56,0.5540178260632923,0.17588785982300037,0.5114982828497887,0.3225914844870567,0.40993376351892946,0.7255526557564735,0.8845218396186829
gemma-3-12b-it-attn,Gemma 3,12.0,1,60,0.19079915665871036,0.0891057331576662,0.17795004304498435,0.01959134206175804,0.13544353178702295,0.21837626628577708,0.4479475229978561
gemma-3-27b-it-attn,Gemma 3,27.0,0,56,0.6985366426258687,0.1450152774548955,0.7117224034615034,0.3661952419355403,0.6052339088691528,0.8123241440761227,0.9101978322101194
gemma-3-27b-it-attn,Gemma 3,27.0,1,60,0.26805402272340456,0.1236295483229419,0.26736913101617676,0.02474271177633518,0.1934769472728624,0.3321815238491264,0.6141553586998652
